[2020-08-14T07:48:16.845852-03:00] desafio-finnet.INFO: Request Log / [] []
[2020-08-14T07:52:26.385256-03:00] desafio-finnet.INFO: Request Log / [] []
[2020-08-14T15:20:20.300665+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"Finnet","password":"1234"} []
[2020-08-14T16:29:56.451643+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"Finnet","password":"1234"} []
[2020-08-14T16:30:09.035443+02:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T10:36:33.426995-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:38:37.293091-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:39:02.141353-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:41:41.944911-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:41:58.252115-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:04.813928-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:11.090862-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:17.081066-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:42:37.444414-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:45:15.743858-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:46:58.547835-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T10:48:06.663649-03:00] desafio-finnet.INFO: Import CSV Success! [] []
[2020-08-15T11:32:57.643353-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:35:03.999989-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:35:47.333597-03:00] desafio-finnet.INFO: Company Created! {"id":null,"name":"finnet","password":"1234"} []
[2020-08-15T11:38:39.841627-03:00] desafio-finnet.INFO: Client Created! {"id":13,"cpf_cnpj":"02249216749","name":"Dame","email":"ddodmand@nytimes.com"} []
[2020-08-15T11:38:39.919358-03:00] desafio-finnet.INFO: Client Created! {"id":14,"cpf_cnpj":"57208649756","name":"Aeriel","email":"ajindrake@networksolutions.com"} []
[2020-08-15T11:38:39.996700-03:00] desafio-finnet.INFO: Client Created! {"id":15,"cpf_cnpj":"76072186920","name":"Lani","email":"livief@tripadvisor.com"} []
[2020-08-15T11:38:40.074299-03:00] desafio-finnet.INFO: Client Created! {"id":16,"cpf_cnpj":"38224848284","name":"Hester","email":"hbarlassg@cbslocal.com"} []
[2020-08-15T11:38:40.151972-03:00] desafio-finnet.INFO: Client Created! {"id":17,"cpf_cnpj":"74842246918","name":"Trude","email":"treachh@amazon.com"} []
[2020-08-15T11:38:40.229151-03:00] desafio-finnet.INFO: Client Created! {"id":18,"cpf_cnpj":"99090883883","name":"Ashely","email":"agrishinovi@dailymotion.com"} []
[2020-08-15T11:38:40.583346-03:00] desafio-finnet.INFO: Client Created! {"id":19,"cpf_cnpj":"93586111033","name":"Eduino","email":"emorlj@ucoz.com"} []
[2020-08-15T11:38:40.893326-03:00] desafio-finnet.INFO: Client Created! {"id":20,"cpf_cnpj":"81117263012","name":"Beatrix","email":"broubertk@opensource.org"} []
[2020-08-15T11:38:40.992930-03:00] desafio-finnet.INFO: Client Created! {"id":21,"cpf_cnpj":"01767370589","name":"Adore","email":"adematteil@unc.edu"} []
[2020-08-15T11:38:41.103762-03:00] desafio-finnet.INFO: Client Created! {"id":22,"cpf_cnpj":"73962335706","name":"Edvard","email":"educarnen@msn.com"} []
[2020-08-15T11:38:41.181218-03:00] desafio-finnet.INFO: Client Created! {"id":23,"cpf_cnpj":"08301349867","name":"Gill","email":"gdredgeo@a8.net"} []
[2020-08-15T11:38:41.391725-03:00] desafio-finnet.INFO: Client Created! {"id":24,"cpf_cnpj":"66272099467","name":"Lenka","email":"lsorop@symantec.com"} []
[2020-08-15T11:38:41.546419-03:00] desafio-finnet.INFO: Client Created! {"id":25,"cpf_cnpj":"77007058198","name":"Noach","email":"npoldingq@blogtalkradio.com"} []
[2020-08-15T11:38:41.701730-03:00] desafio-finnet.INFO: Client Created! {"id":26,"cpf_cnpj":"46045319134","name":"Sherwynd","email":"slindbergr@usda.gov"} []
[2020-08-15T11:38:41.823537-03:00] desafio-finnet.INFO: Client Created! {"id":27,"cpf_cnpj":"11905798948","name":"Ardelis","email":"apetrollis@cdc.gov"} []
[2020-08-15T11:38:41.900804-03:00] desafio-finnet.INFO: Client Created! {"id":28,"cpf_cnpj":"51160416168","name":"Gawain","email":"gbessettt@amazon.co.uk"} []
[2020-08-15T11:38:41.978180-03:00] desafio-finnet.INFO: Client Created! {"id":29,"cpf_cnpj":"49927585888","name":"Helena","email":"hsnufflebottomu@mit.edu"} []
[2020-08-15T11:38:42.044559-03:00] desafio-finnet.INFO: Client Created! {"id":30,"cpf_cnpj":"20075773094","name":"Amata","email":"ayushinv@ask.com"} []
[2020-08-15T11:38:42.111107-03:00] desafio-finnet.INFO: Client Created! {"id":31,"cpf_cnpj":"01230169060","name":"Brent","email":"bperrettw@prlog.org"} []
[2020-08-15T11:38:42.188454-03:00] desafio-finnet.INFO: Client Created! {"id":32,"cpf_cnpj":"75162590347","name":"Wang","email":"wwaterfieldx@trellian.com"} []
[2020-08-15T11:38:42.265979-03:00] desafio-finnet.INFO: Client Created! {"id":33,"cpf_cnpj":"66788070614","name":"Lelah","email":"lrevelandz@constantcontact.com"} []
[2020-08-15T11:38:42.343480-03:00] desafio-finnet.INFO: Client Created! {"id":34,"cpf_cnpj":"72504168047","name":"Ad","email":"abellew11@patch.com"} []
[2020-08-15T11:38:42.420982-03:00] desafio-finnet.INFO: Client Created! {"id":35,"cpf_cnpj":"41520396660","name":"Laurel","email":"lcarden12@people.com.cn"} []
[2020-08-15T11:38:42.498518-03:00] desafio-finnet.INFO: Client Created! {"id":36,"cpf_cnpj":"66394778114","name":"Vivyan","email":"vmariotte13@hao123.com"} []
[2020-08-15T11:38:42.575923-03:00] desafio-finnet.INFO: Client Created! {"id":37,"cpf_cnpj":"79952317665","name":"Tiphany","email":"tgentreau14@spotify.com"} []
[2020-08-15T11:38:42.642429-03:00] desafio-finnet.INFO: Client Created! {"id":38,"cpf_cnpj":"90103602688","name":"Luce","email":"lheeney15@1und1.de"} []
[2020-08-15T11:38:42.697825-03:00] desafio-finnet.INFO: Client Created! {"id":39,"cpf_cnpj":"03100788103","name":"Sara-ann","email":"seim16@bandcamp.com"} []
[2020-08-15T11:38:42.863786-03:00] desafio-finnet.INFO: Client Created! {"id":40,"cpf_cnpj":"92957346391","name":"Gerard","email":"gmarris17@usgs.gov"} []
[2020-08-15T11:38:43.107889-03:00] desafio-finnet.INFO: Client Created! {"id":41,"cpf_cnpj":"44927491393","name":"Ardelis","email":"aiannini18@mozilla.org"} []
[2020-08-15T11:38:43.207482-03:00] desafio-finnet.INFO: Client Created! {"id":42,"cpf_cnpj":"31216982753","name":"Shalna","email":"strenchard1b@godaddy.com"} []
[2020-08-15T11:38:43.307292-03:00] desafio-finnet.INFO: Client Created! {"id":43,"cpf_cnpj":"14098924100","name":"Bancroft","email":"bvarvara1e@amazon.co.jp"} []
[2020-08-15T11:38:43.461520-03:00] desafio-finnet.INFO: Client Created! {"id":44,"cpf_cnpj":"29099779356","name":"Ainslee","email":"amuggleton1f@studiopress.com"} []
[2020-08-15T11:38:43.516883-03:00] desafio-finnet.INFO: Client Created! {"id":45,"cpf_cnpj":"23391346075","name":"Ammamaria","email":"abissett1g@dagondesign.com"} []
[2020-08-15T11:38:43.638726-03:00] desafio-finnet.INFO: Client Created! {"id":46,"cpf_cnpj":"22810142140","name":"Jemmy","email":"jcroxon1i@woothemes.com"} []
[2020-08-15T11:38:43.716145-03:00] desafio-finnet.INFO: Client Created! {"id":47,"cpf_cnpj":"58974893226","name":"Carole","email":"cscoates1j@theguardian.com"} []
[2020-08-15T11:38:43.793646-03:00] desafio-finnet.INFO: Client Created! {"id":48,"cpf_cnpj":"04343004096","name":"Zechariah","email":"zfaltin1k@dailymotion.com"} []
[2020-08-15T11:38:43.848996-03:00] desafio-finnet.INFO: Client Created! {"id":49,"cpf_cnpj":"64080344903","name":"Calhoun","email":"cfallowes1m@digg.com"} []
[2020-08-15T11:38:43.904393-03:00] desafio-finnet.INFO: Client Created! {"id":50,"cpf_cnpj":"84802044484","name":"Renie","email":"rwasselin1n@t.co"} []
[2020-08-15T11:38:43.981823-03:00] desafio-finnet.INFO: Client Created! {"id":51,"cpf_cnpj":"51947841664","name":"Vlad","email":"vwilliamson1o@yahoo.co.jp"} []
[2020-08-15T11:38:44.037564-03:00] desafio-finnet.INFO: Client Created! {"id":52,"cpf_cnpj":"13581815501","name":"Sherrie","email":"sangier1p@usda.gov"} []
[2020-08-15T11:38:44.214369-03:00] desafio-finnet.INFO: Client Created! {"id":53,"cpf_cnpj":"04525703456","name":"Troy","email":"ttidbury1q@imgur.com"} []
[2020-08-15T11:38:44.270252-03:00] desafio-finnet.INFO: Client Created! {"id":54,"cpf_cnpj":"30134106934","name":"Livy","email":"lmactrustam1s@cdc.gov"} []
[2020-08-15T11:38:44.325033-03:00] desafio-finnet.INFO: Client Created! {"id":55,"cpf_cnpj":"57497519761","name":"Derwin","email":"dkach1t@squarespace.com"} []
[2020-08-15T11:38:44.380421-03:00] desafio-finnet.INFO: Client Created! {"id":56,"cpf_cnpj":"76011867800","name":"Shelia","email":"sessex1v@utexas.edu"} []
[2020-08-15T11:38:44.479995-03:00] desafio-finnet.INFO: Client Created! {"id":57,"cpf_cnpj":"66203653284","name":"Mickie","email":"mmaskall1x@weather.com"} []
[2020-08-15T11:38:44.535420-03:00] desafio-finnet.INFO: Client Created! {"id":58,"cpf_cnpj":"89508360700","name":"Zulema","email":"zbyng1z@bbb.org"} []
[2020-08-15T11:38:44.590952-03:00] desafio-finnet.INFO: Client Created! {"id":59,"cpf_cnpj":"36160376926","name":"Emmi","email":"evanderplas20@nbcnews.com"} []
[2020-08-15T11:38:44.668438-03:00] desafio-finnet.INFO: Client Created! {"id":60,"cpf_cnpj":"98944294350","name":"Flori","email":"fhordell22@admin.ch"} []
[2020-08-15T11:38:44.745739-03:00] desafio-finnet.INFO: Client Created! {"id":61,"cpf_cnpj":"55709633442","name":"Corny","email":"cdoran23@fotki.com"} []
[2020-08-15T11:38:44.823728-03:00] desafio-finnet.INFO: Client Created! {"id":62,"cpf_cnpj":"24299108344","name":"Perren","email":"ppoytheras24@alexa.com"} []
[2020-08-15T11:38:44.900793-03:00] desafio-finnet.INFO: Client Created! {"id":63,"cpf_cnpj":"15988034298","name":"Inness","email":"igonnet25@gnu.org"} []
[2020-08-15T11:38:44.956668-03:00] desafio-finnet.INFO: Client Created! {"id":64,"cpf_cnpj":"69363564158","name":"Fanchon","email":"fbautiste26@multiply.com"} []
[2020-08-15T11:38:45.033618-03:00] desafio-finnet.INFO: Client Created! {"id":65,"cpf_cnpj":"29204533104","name":"Wini","email":"wdechelette27@a8.net"} []
[2020-08-15T11:38:45.089135-03:00] desafio-finnet.INFO: Client Created! {"id":66,"cpf_cnpj":"45220133668","name":"Randy","email":"rserchwell29@cbslocal.com"} []
[2020-08-15T11:38:45.144202-03:00] desafio-finnet.INFO: Client Created! {"id":67,"cpf_cnpj":"95145594424","name":"Arlina","email":"ablaylock2a@wp.com"} []
[2020-08-15T11:38:45.199619-03:00] desafio-finnet.INFO: Client Created! {"id":68,"cpf_cnpj":"96981936796","name":"Josselyn","email":"jwallas2e@washington.edu"} []
[2020-08-15T11:38:45.277109-03:00] desafio-finnet.INFO: Client Created! {"id":69,"cpf_cnpj":"38010149526","name":"Irma","email":"iquinney2j@hhs.gov"} []
[2020-08-15T11:38:45.354525-03:00] desafio-finnet.INFO: Client Created! {"id":70,"cpf_cnpj":"27088565228","name":"Monti","email":"mjohantges2l@seesaa.net"} []
[2020-08-15T11:38:45.409913-03:00] desafio-finnet.INFO: Client Created! {"id":71,"cpf_cnpj":"03213229264","name":"Lusa","email":"lfolkes2m@comsenz.com"} []
[2020-08-15T11:38:45.476274-03:00] desafio-finnet.INFO: Client Created! {"id":72,"cpf_cnpj":"90451271587","name":"Tito","email":"tforster2o@opensource.org"} []
[2020-08-15T11:38:45.542771-03:00] desafio-finnet.INFO: Client Created! {"id":73,"cpf_cnpj":"84202123517","name":"Clay","email":"ckeneforde2p@jimdo.com"} []
[2020-08-15T11:38:45.609158-03:00] desafio-finnet.INFO: Client Created! {"id":74,"cpf_cnpj":"26597288188","name":"Rozanne","email":"rkeynes2q@nationalgeographic.com"} []
[2020-08-15T11:38:45.664525-03:00] desafio-finnet.INFO: Client Created! {"id":75,"cpf_cnpj":"61682773253","name":"Val","email":"vderisly2s@shareasale.com"} []
[2020-08-15T11:38:45.742043-03:00] desafio-finnet.INFO: Client Created! {"id":76,"cpf_cnpj":"40225382386","name":"Willetta","email":"wabdie2u@scientificamerican.com"} []
[2020-08-15T11:38:45.808469-03:00] desafio-finnet.INFO: Client Created! {"id":77,"cpf_cnpj":"87739869085","name":"Darla","email":"dmcmarquis2y@biblegateway.com"} []
[2020-08-15T11:38:45.874894-03:00] desafio-finnet.INFO: Client Created! {"id":78,"cpf_cnpj":"05979381050","name":"Devi","email":"dkenneway2z@pen.io"} []
[2020-08-15T11:38:45.941261-03:00] desafio-finnet.INFO: Client Created! {"id":79,"cpf_cnpj":"88755665210","name":"Cari","email":"cbolesworth30@cargocollective.com"} []
[2020-08-15T11:38:46.007673-03:00] desafio-finnet.INFO: Client Created! {"id":80,"cpf_cnpj":"98517932082","name":"Shirlene","email":"swinckle32@zimbio.com"} []
[2020-08-15T11:38:46.085297-03:00] desafio-finnet.INFO: Client Created! {"id":81,"cpf_cnpj":"75436940720","name":"Ari","email":"abodimeade33@vistaprint.com"} []
[2020-08-15T11:38:46.162675-03:00] desafio-finnet.INFO: Client Created! {"id":82,"cpf_cnpj":"08784047080","name":"Rennie","email":"rstut34@fotki.com"} []
[2020-08-15T11:38:46.240149-03:00] desafio-finnet.INFO: Client Created! {"id":83,"cpf_cnpj":"48465215897","name":"Spenser","email":"sorteaux36@theatlantic.com"} []
[2020-08-15T11:38:46.317841-03:00] desafio-finnet.INFO: Client Created! {"id":84,"cpf_cnpj":"49753587678","name":"Ivory","email":"iwestwater37@delicious.com"} []
[2020-08-15T11:38:46.395221-03:00] desafio-finnet.INFO: Client Created! {"id":85,"cpf_cnpj":"08933825422","name":"Zonnya","email":"zbroadwood39@pen.io"} []
[2020-08-15T11:38:46.507171-03:00] desafio-finnet.INFO: Client Created! {"id":86,"cpf_cnpj":"37356065121","name":"Lorin","email":"ljakoubec3b@ihg.com"} []
[2020-08-15T11:38:46.594348-03:00] desafio-finnet.INFO: Client Created! {"id":87,"cpf_cnpj":"92542354169","name":"Malvin","email":"mkordova3c@elpais.com"} []
[2020-08-15T11:38:46.682926-03:00] desafio-finnet.INFO: Client Created! {"id":88,"cpf_cnpj":"80847656638","name":"Thaine","email":"tduligall3d@ucoz.ru"} []
[2020-08-15T11:38:46.771766-03:00] desafio-finnet.INFO: Client Created! {"id":89,"cpf_cnpj":"63398470892","name":"Shea","email":"smainson3e@jigsy.com"} []
[2020-08-15T11:38:46.844951-03:00] desafio-finnet.INFO: Client Created! {"id":90,"cpf_cnpj":"44735216613","name":"Wallace","email":"wherkess3f@ask.com"} []
[2020-08-15T11:38:46.922863-03:00] desafio-finnet.INFO: Client Created! {"id":91,"cpf_cnpj":"47911418342","name":"Lane","email":"lchadwick3g@yolasite.com"} []
[2020-08-15T11:38:46.999924-03:00] desafio-finnet.INFO: Client Created! {"id":92,"cpf_cnpj":"07779302100","name":"Merrill","email":"msimeone3i@mysql.com"} []
[2020-08-15T11:38:47.077452-03:00] desafio-finnet.INFO: Client Created! {"id":93,"cpf_cnpj":"07988589894","name":"Lavinie","email":"lcausby3k@posterous.com"} []
[2020-08-15T11:38:47.154948-03:00] desafio-finnet.INFO: Client Created! {"id":94,"cpf_cnpj":"42360641398","name":"Lissi","email":"ldruitt3r@amazon.de"} []
[2020-08-15T11:38:47.236876-03:00] desafio-finnet.INFO: Client Created! {"id":95,"cpf_cnpj":"98024736284","name":"Kalina","email":"kronan3t@wikipedia.org"} []
[2020-08-15T11:38:47.313967-03:00] desafio-finnet.INFO: Client Created! {"id":96,"cpf_cnpj":"62925566993","name":"Tresa","email":"tkyd3w@multiply.com"} []
[2020-08-15T11:38:47.402969-03:00] desafio-finnet.INFO: Client Created! {"id":97,"cpf_cnpj":"11611547016","name":"Stesha","email":"sroast42@joomla.org"} []
[2020-08-15T11:38:47.491291-03:00] desafio-finnet.INFO: Client Created! {"id":98,"cpf_cnpj":"45586913331","name":"Clemmy","email":"cskeldon43@intel.com"} []
[2020-08-15T11:38:47.579605-03:00] desafio-finnet.INFO: Client Created! {"id":99,"cpf_cnpj":"08946897761","name":"Delilah","email":"dcabane46@theatlantic.com"} []
[2020-08-15T11:38:47.653253-03:00] desafio-finnet.INFO: Client Created! {"id":100,"cpf_cnpj":"57056450214","name":"Mallorie","email":"mweson4a@is.gd"} []
[2020-08-15T11:38:47.730679-03:00] desafio-finnet.INFO: Client Created! {"id":101,"cpf_cnpj":"19008156743","name":"Neil","email":"nfick4d@zimbio.com"} []
[2020-08-15T11:38:47.812051-03:00] desafio-finnet.INFO: Client Created! {"id":102,"cpf_cnpj":"38132102574","name":"Tiertza","email":"tmarland4g@de.vu"} []
[2020-08-15T11:38:47.885839-03:00] desafio-finnet.INFO: Client Created! {"id":103,"cpf_cnpj":"35390826066","name":"Benetta","email":"bgobeau4k@fastcompany.com"} []
[2020-08-15T11:38:47.963163-03:00] desafio-finnet.INFO: Client Created! {"id":104,"cpf_cnpj":"34582159241","name":"Walsh","email":"welderbrant4x@washington.edu"} []
[2020-08-15T11:38:48.044552-03:00] desafio-finnet.INFO: Client Created! {"id":105,"cpf_cnpj":"95161948440","name":"Will","email":"wlumbley4y@msu.edu"} []
[2020-08-15T11:38:48.118263-03:00] desafio-finnet.INFO: Client Created! {"id":106,"cpf_cnpj":"87204217169","name":"Gertruda","email":"grandles51@studiopress.com"} []
[2020-08-15T11:38:48.195637-03:00] desafio-finnet.INFO: Client Created! {"id":107,"cpf_cnpj":"94925900555","name":"Sue","email":"sdiroberto53@boston.com"} []
[2020-08-15T11:38:48.276993-03:00] desafio-finnet.INFO: Client Created! {"id":108,"cpf_cnpj":"40744791287","name":"Cynthea","email":"chansford54@sbwire.com"} []
[2020-08-15T11:38:48.365587-03:00] desafio-finnet.INFO: Client Created! {"id":109,"cpf_cnpj":"57944883694","name":"Kinnie","email":"kraulstone55@japanpost.jp"} []
[2020-08-15T11:38:48.454129-03:00] desafio-finnet.INFO: Client Created! {"id":110,"cpf_cnpj":"55984741388","name":"Jens","email":"jfantone58@squarespace.com"} []
[2020-08-15T11:38:48.542675-03:00] desafio-finnet.INFO: Client Created! {"id":111,"cpf_cnpj":"50340936297","name":"Yolane","email":"yferran59@google.es"} []
[2020-08-15T11:38:48.631309-03:00] desafio-finnet.INFO: Client Created! {"id":112,"cpf_cnpj":"14162718550","name":"Bidget","email":"bracine5b@arstechnica.com"} []
[2020-08-15T11:38:48.719796-03:00] desafio-finnet.INFO: Client Created! {"id":113,"cpf_cnpj":"22060045129","name":"Jaimie","email":"jcasham5c@tmall.com"} []
[2020-08-15T11:38:48.793395-03:00] desafio-finnet.INFO: Client Created! {"id":114,"cpf_cnpj":"16565690416","name":"Petra","email":"pgerrie5g@php.net"} []
[2020-08-15T11:38:48.874862-03:00] desafio-finnet.INFO: Client Created! {"id":115,"cpf_cnpj":"13729650589","name":"Rosemary","email":"runwin5n@independent.co.uk"} []
[2020-08-15T11:38:48.952489-03:00] desafio-finnet.INFO: Client Created! {"id":116,"cpf_cnpj":"68297666656","name":"Amalea","email":"apeschka5v@examiner.com"} []
[2020-08-15T11:38:49.062982-03:00] desafio-finnet.INFO: Client Created! {"id":117,"cpf_cnpj":"09165132851","name":"Dre","email":"dszwandt5w@qq.com"} []
[2020-08-15T11:38:49.136894-03:00] desafio-finnet.INFO: Client Created! {"id":118,"cpf_cnpj":"09864665327","name":"Doug","email":"dtaplin6r@exblog.jp"} []
[2020-08-15T11:38:49.236415-03:00] desafio-finnet.INFO: Client Created! {"id":119,"cpf_cnpj":"94541779433","name":"Talia","email":"tlackie6v@squidoo.com"} []
[2020-08-15T11:38:49.313591-03:00] desafio-finnet.INFO: Client Created! {"id":120,"cpf_cnpj":"56668785741","name":"Karry","email":"kharrington6y@infoseek.co.jp"} []
[2020-08-15T11:38:49.391115-03:00] desafio-finnet.INFO: Client Created! {"id":121,"cpf_cnpj":"03546410936","name":"Rycca","email":"rmcilwain78@discuz.net"} []
[2020-08-15T11:38:49.468707-03:00] desafio-finnet.INFO: Client Created! {"id":122,"cpf_cnpj":"72400036697","name":"Lindy","email":"ltitterell79@sciencedirect.com"} []
[2020-08-15T11:38:49.546065-03:00] desafio-finnet.INFO: Client Created! {"id":123,"cpf_cnpj":"82843985066","name":"Cortie","email":"chasslocher7e@people.com.cn"} []
[2020-08-15T11:38:49.627634-03:00] desafio-finnet.INFO: Client Created! {"id":124,"cpf_cnpj":"51803142386","name":"Sandi","email":"scuniam7i@amazon.co.jp"} []
[2020-08-15T11:38:49.705060-03:00] desafio-finnet.INFO: Client Created! {"id":125,"cpf_cnpj":"88655095202","name":"Orelee","email":"okleinfeld7k@pbs.org"} []
[2020-08-15T11:38:49.782566-03:00] desafio-finnet.INFO: Client Created! {"id":126,"cpf_cnpj":"27892526245","name":"Mason","email":"mcoate7l@archive.org"} []
[2020-08-15T11:38:49.871051-03:00] desafio-finnet.INFO: Client Created! {"id":127,"cpf_cnpj":"33865088729","name":"Nicky","email":"nbaudain7p@usgs.gov"} []
[2020-08-15T11:38:49.959626-03:00] desafio-finnet.INFO: Client Created! {"id":128,"cpf_cnpj":"28763515420","name":"Grannie","email":"gsenyard7q@scribd.com"} []
[2020-08-15T11:38:50.048298-03:00] desafio-finnet.INFO: Client Created! {"id":129,"cpf_cnpj":"34236256242","name":"Wenona","email":"wdennerly8e@geocities.com"} []
[2020-08-15T11:38:50.137022-03:00] desafio-finnet.INFO: Client Created! {"id":130,"cpf_cnpj":"37371813347","name":"Yale","email":"ydeveral92@youtube.com"} []
[2020-08-15T11:38:50.225389-03:00] desafio-finnet.INFO: Client Created! {"id":131,"cpf_cnpj":"21447782538","name":"Perrine","email":"pholbie9d@spiegel.de"} []
[2020-08-15T11:38:50.313967-03:00] desafio-finnet.INFO: Client Created! {"id":132,"cpf_cnpj":"38549464568","name":"Dorothee","email":"dshave9i@miibeian.gov.cn"} []
[2020-08-15T11:38:50.402783-03:00] desafio-finnet.INFO: Client Created! {"id":133,"cpf_cnpj":"34188128401","name":"Saree","email":"sspittal9s@hubpages.com"} []
[2020-08-15T11:38:50.490975-03:00] desafio-finnet.INFO: Client Created! {"id":134,"cpf_cnpj":"61065916831","name":"Bobbee","email":"bbrigman9y@fda.gov"} []
[2020-08-15T11:38:50.579617-03:00] desafio-finnet.INFO: Client Created! {"id":135,"cpf_cnpj":"99383548049","name":"Timothee","email":"tdolla0@imdb.com"} []
[2020-08-15T11:38:50.668483-03:00] desafio-finnet.INFO: Client Created! {"id":136,"cpf_cnpj":"03952130982","name":"Milty","email":"mgreeneraf@github.io"} []
[2020-08-15T11:38:50.757090-03:00] desafio-finnet.INFO: Client Created! {"id":137,"cpf_cnpj":"91829161292","name":"Shaylynn","email":"sjaunceyag@gravatar.com"} []
[2020-08-15T11:38:50.856711-03:00] desafio-finnet.INFO: Client Created! {"id":138,"cpf_cnpj":"44826818875","name":"Flossie","email":"fkarmelca@jalbum.net"} []
