cpf,name,email,date_due,total
41520396660,Laurel,lcarden12@people.com.cn,28/10/2020,472.29
66394778114,Vivyan,vmariotte13@hao123.com,13/11/2020,895.56
79952317665,Tiphany,tgentreau14@spotify.com,19/10/2020,164.55
90103602688,Luce,lheeney15@1und1.de,16/01/2021,680.71
03100788103,Sara-ann,seim16@bandcamp.com,26/09/2020,380.55
92957346391,Gerard,gmarris17@usgs.gov,16/12/2020,871.98
44927491393,Ardelis,aiannini18@mozilla.org,08/11/2020,561.48
46045319134,Kristofor,khammerton19@t.co,23/12/2020,710.66
72504168047,Gifford,grothery1a@google.fr,21/12/2020,656.47
31216982753,Shalna,strenchard1b@godaddy.com,14/12/2020,970.42
02249216749,Rosina,rcometson1c@auda.org.au,03/09/2020,400.88
86948936909,Candide,cagastina1d@woothemes.com,05/12/2020,872.84
14098924100,Bancroft,bvarvara1e@amazon.co.jp,13/11/2020,788.23
29099779356,Ainslee,amuggleton1f@studiopress.com,09/10/2020,818.87
23391346075,Ammamaria,abissett1g@dagondesign.com,23/12/2020,582.96
41520396660,Mortimer,melms1h@pbs.org,01/01/2021,971.25
22810142140,Jemmy,jcroxon1i@woothemes.com,22/10/2020,463.77
58974893226,Carole,cscoates1j@theguardian.com,09/12/2020,850.84
04343004096,Zechariah,zfaltin1k@dailymotion.com,13/01/2021,981.01
55776573168,Kacey,kachurch1l@unicef.org,17/12/2020,159.4
64080344903,Calhoun,cfallowes1m@digg.com,26/12/2020,836.43
84802044484,Renie,rwasselin1n@t.co,03/11/2020,52.11
51947841664,Vlad,vwilliamson1o@yahoo.co.jp,02/02/2021,519.51
13581815501,Sherrie,sangier1p@usda.gov,25/11/2020,666.29
04525703456,Troy,ttidbury1q@imgur.com,15/10/2020,385.91
31629446823,Bertha,bjellico1r@fema.gov,15/12/2020,869.23
30134106934,Livy,lmactrustam1s@cdc.gov,24/12/2020,379.68
57497519761,Derwin,dkach1t@squarespace.com,14/12/2020,455.95
58974893226,Martino,mshackel1u@si.edu,28/11/2020,208.07
76011867800,Shelia,sessex1v@utexas.edu,30/01/2021,894.96
79952317665,Carlen,chumburton1w@360.cn,22/01/2021,332.59
66203653284,Mickie,mmaskall1x@weather.com,13/11/2020,302.38
76072186920,Chiquita,cousley1y@spiegel.de,10/12/2020,856.15
89508360700,Zulema,zbyng1z@bbb.org,16/12/2020,762.09
36160376926,Emmi,evanderplas20@nbcnews.com,17/11/2020,41.02
22810142140,Alastair,amongan21@dmoz.org,17/09/2020,963.1
98944294350,Flori,fhordell22@admin.ch,10/12/2020,830.83
55709633442,Corny,cdoran23@fotki.com,30/12/2020,16.29
24299108344,Perren,ppoytheras24@alexa.com,11/12/2020,620.0
15988034298,Inness,igonnet25@gnu.org,23/11/2020,210.33
69363564158,Fanchon,fbautiste26@multiply.com,21/12/2020,152.81
29204533104,Wini,wdechelette27@a8.net,03/10/2020,53.97
60632579509,Annabella,apooley28@blogspot.com,15/12/2020,535.03
45220133668,Randy,rserchwell29@cbslocal.com,21/10/2020,852.81
95145594424,Arlina,ablaylock2a@wp.com,02/11/2020,660.38
55709633442,Ginni,gkeatley2b@pen.io,30/10/2020,122.16
84802044484,Dael,dgillitt2c@mapquest.com,16/01/2021,124.83
84802044484,Dewain,dpaulon2d@cargocollective.com,05/11/2020,971.69
96981936796,Josselyn,jwallas2e@washington.edu,21/11/2020,869.78
55776573168,Milton,mgraves2f@europa.eu,21/09/2020,982.24
58974893226,Adriano,apiotrowski2g@zimbio.com,30/11/2020,624.03
04525703456,Zitella,zheymann2h@infoseek.co.jp,17/10/2020,369.84
23391346075,Jacky,jroddick2i@admin.ch,16/12/2020,227.13
38010149526,Irma,iquinney2j@hhs.gov,05/11/2020,169.05
49927585888,Heddi,hcasarili2k@google.com.br,26/09/2020,654.65
27088565228,Monti,mjohantges2l@seesaa.net,04/10/2020,262.65
03213229264,Lusa,lfolkes2m@comsenz.com,02/11/2020,836.2
41520396660,Ramsey,rmotto2n@blogs.com,22/12/2020,756.76
90451271587,Tito,tforster2o@opensource.org,17/09/2020,113.09
84202123517,Clay,ckeneforde2p@jimdo.com,10/12/2020,856.02
26597288188,Rozanne,rkeynes2q@nationalgeographic.com,20/01/2021,415.2
29099779356,Jewell,jfeldbrin2r@topsy.com,29/11/2020,110.07
61682773253,Val,vderisly2s@shareasale.com,10/11/2020,88.89
71234212800,Roxana,rmontes2t@un.org,01/11/2020,901.03
40225382386,Willetta,wabdie2u@scientificamerican.com,01/12/2020,943.15
04525703456,Heindrick,hghest2v@wikia.com,08/11/2020,487.28
26597288188,Nickolai,nlambis2w@ucoz.com,03/10/2020,136.48
13581815501,Lars,lheisman2x@addthis.com,04/10/2020,372.93
87739869085,Darla,dmcmarquis2y@biblegateway.com,20/01/2021,447.57
05979381050,Devi,dkenneway2z@pen.io,17/12/2020,608.19
88755665210,Cari,cbolesworth30@cargocollective.com,11/12/2020,752.41
01767370589,Felecia,fmeharry31@google.es,02/01/2021,809.27
98517932082,Shirlene,swinckle32@zimbio.com,01/01/2021,579.86
75436940720,Ari,abodimeade33@vistaprint.com,18/11/2020,535.76
08784047080,Rennie,rstut34@fotki.com,05/12/2020,286.47
96981936796,Nedda,nscarf35@telegraph.co.uk,25/12/2020,468.37
48465215897,Spenser,sorteaux36@theatlantic.com,28/10/2020,301.89
49753587678,Ivory,iwestwater37@delicious.com,22/11/2020,703.63
22935394641,Wynnie,wstobbie38@jimdo.com,20/10/2020,226.32
08933825422,Zonnya,zbroadwood39@pen.io,26/12/2020,85.14
04525703456,Ciro,cschollar3a@theguardian.com,09/10/2020,354.28
37356065121,Lorin,ljakoubec3b@ihg.com,21/11/2020,753.32
92542354169,Malvin,mkordova3c@elpais.com,09/11/2020,552.22
80847656638,Thaine,tduligall3d@ucoz.ru,23/12/2020,123.67
63398470892,Shea,smainson3e@jigsy.com,06/10/2020,353.04
44735216613,Wallace,wherkess3f@ask.com,17/12/2020,993.65
47911418342,Lane,lchadwick3g@yolasite.com,09/10/2020,56.07
37356065121,Rosy,rdunlea3h@multiply.com,15/10/2020,120.76
07779302100,Merrill,msimeone3i@mysql.com,09/09/2020,868.05
74842246918,Prudy,pfosdike3j@bloglines.com,10/11/2020,128.07
07988589894,Lavinie,lcausby3k@posterous.com,24/01/2021,435.13
84802044484,Dari,dholbie3l@ebay.co.uk,04/12/2020,707.17
90451271587,Archibold,astother3m@studiopress.com,20/09/2020,112.12
05979381050,Beltran,brummery3n@springer.com,08/10/2020,581.69
57497519761,Leesa,lrobley3o@japanpost.jp,03/10/2020,464.34
76072186920,Avictor,aeyer3p@hp.com,28/11/2020,436.14
86486935560,Lars,lvassel3q@skyrock.com,27/11/2020,630.51
42360641398,Lissi,ldruitt3r@amazon.de,24/01/2021,752.72
66203653284,Dillon,drockcliff3s@facebook.com,05/10/2020,581.79
98024736284,Kalina,kronan3t@wikipedia.org,31/12/2020,559.27
41520396660,Garrett,ggreder3u@moonfruit.com,12/10/2020,434.1
41520396660,Flynn,fleftwich3v@cpanel.net,13/12/2020,453.18
62925566993,Tresa,tkyd3w@multiply.com,26/10/2020,720.24
29099779356,Danila,dkemmey3x@is.gd,28/01/2021,315.12
22935394641,Florina,frupke3y@java.com,25/10/2020,82.04
93586111033,Luci,lcouttes3z@pcworld.com,31/01/2021,798.35
90103602688,Kelwin,kmaceur40@house.gov,07/10/2020,532.27
66788070614,Taffy,tdelph41@aboutads.info,28/11/2020,460.5
11611547016,Stesha,sroast42@joomla.org,13/09/2020,244.9
45586913331,Clemmy,cskeldon43@intel.com,13/11/2020,713.63
08933825422,Kermy,kwhilder44@cbslocal.com,10/10/2020,862.72
90103602688,Kalvin,khulatt45@sciencedaily.com,19/12/2020,882.73
